State,State_abbr,County,FIPS,Population,Sum of LALOWI1_10,Average of MedianFamilyIncome,Sum of TractWhite,FD%,%White,%Minority
Georgia,GA,Dooly,13093,14918,4065.556932,36259.66667,6810,0.272526943,0.456495509,0.543504491
Georgia,GA,Dougherty,13095,94565,20111.99226,39949.62963,27986,0.212679028,0.295944588,0.704055412
Georgia,GA,Douglas,13097,132403,21400.87673,59633.5,69458,0.161634379,0.524595364,0.475404636
Georgia,GA,Early,13099,11008,359.7172314,40867.2,5324,0.032677801,0.483648256,0.516351744
Georgia,GA,Echols,13101,4034,102.9687804,47022.5,3023,0.025525231,0.749380268,0.250619732
Georgia,GA,Effingham,13103,52250,3100.319763,72452.4,43182,0.059336263,0.826449761,0.173550239
Georgia,GA,Elbert,13105,20166,2657.120406,40408.6,13297,0.131762392,0.659377169,0.340622831
Georgia,GA,Emanuel,13107,22598,3765.893843,41217.83333,13928,0.166647218,0.616337729,0.383662271
Georgia,GA,Evans,13109,11000,0,48136.33333,6471,0,0.588272727,0.411727273
Georgia,GA,Fannin,13111,23682,116.7088887,42985.4,23007,0.004928169,0.97149734,0.02850266
Georgia,GA,Fayette,13113,106567,7276.929812,96007.25,75802,0.068285021,0.711308379,0.288691621
Georgia,GA,Floyd,13115,96317,12242.90395,50598.85,74055,0.12711052,0.768867386,0.231132614
Georgia,GA,Forsyth,13117,175511,17491.91333,97268.26667,149946,0.099662775,0.854339614,0.145660386
Georgia,GA,Franklin,13119,22084,0,46211.8,19280,0,0.873030248,0.126969752
Georgia,GA,Fulton,13121,920581,90844.64374,77773.09314,409697,0.098681858,0.445041773,0.554958227
Georgia,GA,Gilmer,13123,28292,2463.314217,46411.8,26115,0.087067518,0.923052453,0.076947547
Georgia,GA,Glascock,13125,3082,853.399815,49754,2767,0.276898058,0.89779364,0.10220636
Georgia,GA,Glynn,13127,79626,12380.64522,61997.2,53823,0.155484957,0.675947555,0.324052445
Georgia,GA,Gordon,13129,55186,7156.926301,47615.77778,47032,0.129687354,0.852245135,0.147754865
Georgia,GA,Grady,13131,25011,505.3622415,38036,15716,0.020205599,0.62836352,0.37163648
Georgia,GA,Greene,13133,15994,1756.467658,59653.57143,9056,0.109820411,0.56621233,0.43378767
Georgia,GA,Gwinnett,13135,805321,85100.29568,66992.28319,429563,0.105672515,0.533405934,0.466594066
Georgia,GA,Habersham,13137,43041,3565.278645,51782.875,36893,0.082834475,0.857159453,0.142840547
Georgia,GA,Hall,13139,179684,19086.04383,59733.69444,133197,0.106220052,0.7412847,0.2587153
Georgia,GA,Hancock,13141,9429,3722.663591,39851.5,2300,0.394810011,0.243928306,0.756071694
Georgia,GA,Haralson,13143,28780,2138.458982,48826.4,26707,0.074303648,0.927970813,0.072029187
Georgia,GA,Harris,13145,32024,14.86215126,79721.2,25392,0.000464094,0.792905321,0.207094679
Georgia,GA,Hart,13147,25213,0,48061.8,19515,0,0.774005473,0.225994527
Georgia,GA,Heard,13149,11834,313.1358539,50838,10284,0.026460694,0.869021464,0.130978536
Georgia,GA,Henry,13151,203922,28443.74904,66490.36,112201,0.139483474,0.550215278,0.449784722
Georgia,GA,Houston,13153,139900,16844.54015,59532.6087,88626,0.120404147,0.633495354,0.366504646
Georgia,GA,Irwin,13155,9538,267.1478278,47049,6811,0.028008789,0.714091004,0.285908996
Georgia,GA,Jackson,13157,60485,5628.982086,61498.63636,52496,0.0930641,0.867917666,0.132082334
Georgia,GA,Jasper,13159,13900,1426.276839,49493,10271,0.102609845,0.738920863,0.261079137
Georgia,GA,Jeff Davis,13161,15068,3169.855462,43748.33333,11463,0.21037002,0.760751261,0.239248739
Georgia,GA,Jefferson,13163,16930,70.63850851,35369.75,7206,0.004172387,0.425634968,0.574365032
Georgia,GA,Jenkins,13165,8340,199.0404041,36625,4579,0.023865756,0.549040767,0.450959233
Georgia,GA,Johnson,13167,9980,309.6136499,45460.33333,6301,0.031023412,0.631362725,0.368637275
Georgia,GA,Jones,13169,28669,3353.925505,67359.66667,20989,0.116987879,0.732114828,0.267885172
Georgia,GA,Lamar,13171,18317,2034.422062,48945.66667,12098,0.111067427,0.660479336,0.339520664
Georgia,GA,Lanier,13173,10078,11.96001745,49256,7118,0.001186745,0.706290931,0.293709069
Georgia,GA,Laurens,13175,48434,3611.524273,44007,29355,0.074565889,0.606082504,0.393917496
Georgia,GA,Lee,13177,28298,2499.024145,64864.6,21763,0.088310981,0.769064952,0.230935048
Georgia,GA,Liberty,13179,63453,13514.1948,47751.78571,29881,0.212979604,0.470915481,0.529084519
Georgia,GA,Lincoln,13181,7996,223.7593833,44632.5,5257,0.027983915,0.657453727,0.342546273
Georgia,GA,Long,13183,14464,258.2064072,35880.66667,9026,0.01785166,0.62403208,0.37596792
